product_name,total_units,total_prescriptions,total_medicaid_spending,total_non_medicaid_spending,total_reimbursed,ndc_count,labeler_count
BIKTARVY,16885070.0,499513.0,2248616532.18,41061895.81,2289678427.9900002,3,1
JARDIANCE,93139573.479,2208383.0,1853899028.79,31782440.3,1885681469.09,6,1
TRULICITY,3089250.076,1477123.0,1466256026.2,17550240.79,1483806266.99,8,1
INVEGA SUS,602888.286,479001.0,1343390517.17,15755807.48,1359146324.65,6,1
HUMIRA(CF),332732.017,135970.0,1238784100.29,11631701.47,1250415801.76,7,1
HUMIRA PEN,313961.39,130594.0,1136924998.78,16874046.8,1153799045.58,4,1
DUPIXENT S,1004775.6,256726.0,1002108786.2,17658548.57,1019767334.77,8,1
OZEMPIC,3141421.999,944750.0,994041539.16,18554699.09,1012596238.25,6,1
ZEPBOUND,1924897.0,959728.0,991996342.77,15115359.92,1007111702.69,11,1
ELIQUIS,96114798.165,1446918.0,922969901.95,19527223.07,942497125.02,6,1
DUPIXENT P,713124.619,189965.0,746647342.72,13340027.81,759987370.53,3,1
ABILIFY MA,244744.033,245005.0,630275226.71,5612779.6,635888006.3100001,6,1
OZEMPIC 0.,1994598.25,661538.0,626342034.34,13150578.89,639492613.23,3,1
WEGOVY,1118349.25,452358.0,589177956.7,6398680.25,595576636.95,5,1
VRAYLAR (C,12152498.0,402456.0,584783532.79,3798210.88,588581743.67,4,1
SKYRIZI 15,31759.078,27863.0,580919913.5,6466666.7,587386580.2,2,1
STELARA 90,20533.058,20353.0,552373722.97,17641369.79,570015092.76,1,1
SYMBICORT,24098952.566,2117993.0,517007241.64,3219197.94,520226439.58,4,1
COSENTYX U,139112.09100000001,51310.0,515674306.16,4887221.0,520561527.16,1,1
OZEMPIC 2M,1607301.0,516907.0,503948092.74,12207483.6,516155576.34,2,1
SUBLOCADE,323936.903,252888.0,501910595.03,2778524.09,504689119.12,6,1
COSENTYX S,118372.5,57424.0,494964223.41,6520761.72,501484985.13,5,1
TRIKAFTA,1514732.0,19195.0,487238406.09,28299963.419999998,515538369.51,4,1
NURTEC ODT,3752025.0,365898.0,457472392.55,4851958.6,462324351.15,1,1
VRAYLAR,9437307.114,306144.0,454649906.51,3877567.84,458527474.35,8,1
OZEMPIC 1M,1415584.5,457879.0,445317650.38,9716103.59,455033753.97,2,1
MOUNJARO,860887.143,416780.0,430035815.01,19674762.63,449710577.64,7,1
FLUTICASON,155682939.264,8773302.0,412729975.1,4883737.95,417613713.05,56,14
STELARA,24025.397,16261.0,412677126.43,8154408.75,420831535.18,4,1
TRELEGY EL,38556230.0,589430.0,409486088.1,10143001.18,419629089.28000003,4,1
EPIDIOLEX,25544669.4,114422.0,387476728.69,38640669.18,426117397.87,4,1
DUPIXENT 3,416296.003,98288.0,379733522.87,7828769.75,387562292.62,3,1
NORDITROPI,321319.0,68342.0,375539421.11,24435189.66,399974610.77,3,1
WEGOVY 2.4,855331.5,282679.0,364937415.23,4586958.7299999995,369524373.96,1,1
KEYTRUDA 1,320220.56,36796.0,363999868.24,50167310.24,414167178.48,3,1
INVEGA TRI,93040.422,42850.0,353908846.46,3620557.69,357529404.15,4,1
TRIKAFTA (,1156954.0,14612.0,347450069.92,34974978.04,382425047.96,4,1
BIKTARVY 5,2337258.0,73693.0,304652412.66,7276673.720000001,311929086.38,2,1
VYVANSE,24222649.0,816726.0,299715539.86,4471126.9,304186666.76,13,1
FARXIGA 10,15659579.79,373604.0,298880931.45,4011068.54,302891999.99,3,1
ALBUTEROL,542176785.668,10530211.0,289507727.98,6189244.46,295696972.44,77,26
ENBREL (ET,149219.94,37133.0,289470479.89,4363778.71,293834258.6,5,1
MAVYRET 10,1899361.0,23006.0,289424849.29,580152.93,290005002.22,2,1
HEMLIBRA,18663.623,8201.0,288590807.87,16888928.48,305479736.35,5,1
SOFOSBUVIR,1027052.0,34692.0,279593476.72,2179218.06,281772694.78,1,1
TALTZ,41903.25,35750.0,278824203.38,1973497.56,280797700.94,7,1
HEMLIBRA -,18392.511,9406.0,275992430.81,13413700.9,289406131.71,5,1
SUBOXONE,30367030.5,729718.0,272953835.76,327722.81,273281558.57,6,1
FARXIGA,14345993.5,362449.0,270899317.28,4398230.05,275297547.33,5,1
WEGOVY 0.2,410382.3,205159.0,263097670.29,2454427.09,265552097.38,1,1
VERZENIO,915656.0,16846.0,260009462.26,2700843.3,262710305.56,4,1
WEGOVY 0.5,400486.5,199825.0,255987916.35,2600766.56,258588682.91000003,1,1
WEGOVY 1MG,382591.5,190744.0,244639334.55,2490520.5,247129855.05,1,1
MOUNJARO 1,482161.0,233708.0,241099011.46,9395872.65,250494884.11,5,1
SKYRIZI PE,11617.336,11485.0,239431692.92,3829490.57,243261183.49,1,1
VENTOLIN H,72693201.245,3709809.0,239342599.34,812936.18,240155535.52,2,1
ENBREL SUR,121602.5,29309.0,234574416.77,2390393.48,236964810.25,1,1
RINVOQ,994493.0,30831.0,230099370.04,3991881.73,234091251.77,3,1
ENTRESTO F,20303552.47,274845.0,226484359.76,3312511.72,229796871.48,6,1
BUPRENORPH,121028440.713,3556120.0,226325641.51,2829326.32,229154967.83,98,21
WEGOVY 1.7,516343.2,171405.0,219551959.99,2831564.43,222383524.42,1,1
DESCOVY 20,3001778.0,82445.0,210664714.35999998,2138855.01,212803569.37,2,1
XIFAXAN 55,3791229.349,73523.0,207055286.55,1171127.12,208226413.67000002,2,1
