state,labeler_code,total_prescriptions,total_medicaid_spending,drug_count
AK,16714,48896.0,1157444.64,84
AK,65862,39267.0,713296.67,69
AK,00093,29101.0,1017293.62,43
AK,31722,28365.0,600743.11,59
AK,60505,22298.0,728317.3,41
AK,68382,20505.0,320226.54,39
AK,68180,19987.0,529548.26,35
AK,76282,18188.0,464306.1,17
AK,00169,15322.0,14331455.2,13
AK,29300,13410.0,191066.48,20
AK,65162,12909.0,357686.52,32
AK,68462,12344.0,248348.74,39
AK,00378,12066.0,798872.78,36
AK,00406,12008.0,314558.99,14
AK,50111,11576.0,205782.67,6
AK,67877,11328.0,189431.59,32
AK,43547,10966.0,178658.75,23
AK,43598,10890.0,600653.0499999999,26
AK,72603,10684.0,225929.24,32
AK,16571,10299.0,128989.53,18
AK,70010,10281.0,249090.77,18
AK,50228,9457.0,228987.77,19
AK,27241,8986.0,176940.91,13
AK,45802,8973.0,305975.19,23
AK,66993,8872.0,1296471.99,12
AK,57237,8856.0,169933.03,16
AK,55111,8742.0,135061.21,25
AK,00054,8608.0,233201.35,17
AK,00597,8479.0,4475602.47,8
AK,59651,8270.0,149164.44,40
AK,00781,8247.0,314795.69,18
AK,63323,7836.0,391722.93,31
AK,69238,7069.0,175420.80000000002,18
AK,00338,6903.0,1027075.3300000001,7
AK,42806,6712.0,153626.71,15
AK,62332,6630.0,122449.48,28
AK,47781,6352.0,510076.45,8
AK,69097,6304.0,109921.0,16
AK,23155,6174.0,127901.03,27
AK,00002,6117.0,4415796.06,15
AK,52817,6013.0,110653.61,10
AK,00074,6004.0,17646399.95,11
AK,00228,5625.0,114612.82,8
AK,51672,5528.0,146512.65,23
AK,13668,5439.0,58848.76,15
AK,72205,5240.0,100090.3,13
AK,68645,5181.0,60590.81,11
AK,00904,5166.0,118282.09999999999,25
AK,00409,5110.0,157902.0,21
AK,00310,4849.0,2104593.6,7
AK,00003,4797.0,3200064.43,6
AK,70954,4762.0,106467.3,20
AK,51991,4143.0,89009.69,12
AK,00555,4074.0,91746.2,21
AK,00172,3878.0,64597.8,4
AK,72888,3817.0,74296.08,18
AK,12496,3805.0,5851372.35,2
AK,00641,3743.0,196022.29,14
AK,69315,3728.0,61156.93,12
AK,70700,3701.0,100444.45,14
AK,64380,3680.0,85629.97,21
AK,00173,3678.0,1924753.95,9
AK,50742,3517.0,272070.17,11
AK,00527,3511.0,116592.22,14
AK,00088,3274.0,305111.42,3
