state,total_non_medicaid_spending
CA,471971493.28000003
NY,417990140.27
NC,388158913.63
PA,256545095.95
SC,159072430.2
IA,125130000.37
MI,102979411.38
FL,95054149.99
VA,88388790.38
MA,85624217.19
TX,85416810.38
LA,79750064.86
NJ,71257091.51
IL,69912868.49
IN,67959414.39
OH,57573292.5
GA,53092596.39
CT,51297359.39
WI,50626286.74
AZ,49442507.8
WA,44621591.47
UT,43023479.99
DC,41781224.6
AL,41737648.45
MO,39112713.22
OR,36620813.839999996
OK,35936339.23
KS,34110476.43
KY,27014033.57
AR,25532375.46
NV,24419308.8
PR,24172039.14
ME,23636750.39
WV,19826417.45
NE,19389404.75
MD,18280077.76
TN,18228765.18
MN,16712495.28
CO,14570855.31
ID,14218257.25
MS,11997540.38
DE,9304090.52
MT,9224581.64
AK,9090459.5
NM,3223922.85
SD,2718935.92
WY,2338544.93
ND,2023471.74
NH,1929587.6
VT,533270.52
RI,310992.69
HI,0.0
