state,competitor_count,state_labeler_prescriptions,leading_labeler_code,leading_labeler_prescriptions,leading_labeler_medicaid_spending,leading_labeler_drug_count
CA,662,67100724.0,65862,3594932.0,55462429.2,137
NY,660,53525409.0,00904,2726596.0,29237859.23,124
OH,568,27595701.0,65862,1426768.0,17944781.69,125
PA,561,25220372.0,65862,1441307.0,15271154.98,133
NC,556,16372751.0,65862,892449.0,11749569.23,112
FL,553,15878727.0,65862,818860.0,8739152.49,109
TX,549,19479965.0,65862,913547.0,8900686.12,121
MI,547,21093115.0,65862,1022830.0,9119753.39,107
KY,537,20326271.0,65862,1013834.0,12686246.95,121
IL,536,17010200.0,65862,1006460.0,10721571.7,121
VA,536,15741663.0,00406,1029747.0,7347428.16,16
NJ,533,14929531.0,65862,896307.0,6271658.51,130
MA,519,10761851.0,65862,467076.0,6914547.41,108
LA,510,13333463.0,65862,706417.0,9223655.39,108
IN,504,13764081.0,65862,763574.0,10202236.35,120
AZ,503,10829691.0,65862,558541.0,6989192.39,100
TN,503,9156271.0,65862,556535.0,7208641.98,116
CT,501,6833026.0,65862,385900.0,6115571.12,116
MO,490,11759106.0,65862,632945.0,9923412.65,103
WI,489,9306523.0,65862,498272.0,7284614.55,111
CO,484,7243882.0,65862,380142.0,5232723.55,122
MD,480,10973161.0,65862,687219.0,6272981.5,120
GA,478,10274949.0,65862,561236.0,4804589.06,108
MN,478,8823031.0,65862,420604.0,7250180.89,97
WA,469,9896463.0,65862,507164.0,6024852.43,112
NV,460,5177829.0,65862,262908.0,2538930.78,93
AL,453,4780044.0,65862,261413.0,3614609.43,106
OR,440,8416492.0,16714,465286.0,5203390.76,140
SC,440,5463675.0,65862,325671.0,2557571.87,95
IA,424,5794135.0,65862,324452.0,1418505.02,104
NM,411,4029581.0,65862,232442.0,5809531.39,95
OK,409,5967794.0,65862,335839.0,3050418.51,103
MS,408,3747684.0,65862,205551.0,3153238.28,99
KS,405,2437301.0,65862,122583.0,1753962.45,95
WV,404,5513831.0,65862,336649.0,4447890.13,95
ID,401,2873125.0,65862,141057.0,2038425.44,85
NE,399,2955303.0,65862,148386.0,1609870.74,100
ME,383,2077721.0,65862,101582.0,1529162.73,77
AR,380,4051155.0,65862,214158.0,2919115.14,85
UT,377,2523791.0,65862,135055.0,2045028.32,101
DE,370,1722019.0,65862,97945.0,968794.6,83
MT,362,2030828.0,66689,163897.0,1261894.17,3
NH,353,1539800.0,65862,72829.0,546915.82,81
PR,344,10364466.0,68180,620466.0,3623843.94,34
HI,331,1406810.0,65862,67602.0,1140629.22,74
AK,328,804570.0,16714,48896.0,1157444.64,84
DC,323,1400095.0,65862,66011.0,469775.36,79
RI,321,2520846.0,65862,138077.0,1228782.55,90
SD,313,990431.0,65862,50956.0,3598967.36,73
VT,313,1079742.0,12496,52576.0,10901322.48,2
ND,299,688559.0,65862,39593.0,612684.46,70
WY,261,295467.0,65862,18892.0,311555.3,54
