product_name,total_units,total_prescriptions,total_medicaid_spending,total_non_medicaid_spending,total_reimbursed,ndc_count,labeler_count
AMOXICILLI,935507222.295,11492661.0,134699744.35999998,1248528.54,135948272.9,186,16
ALBUTEROL,542176785.668,10530211.0,289507727.98,6189244.46,295696972.44,77,26
IBUPROFEN,716879806.26,9767064.0,104459231.06,1215908.81,105675139.87,184,37
ATORVASTAT,458630542.373,9103951.0,94901840.45,1133176.58,96035017.03,254,31
GABAPENTIN,865346311.425,9074785.0,118560987.3,1831457.22,120392444.52,257,38
FLUTICASON,155682939.264,8773302.0,412729975.1,4883737.95,417613713.05,56,14
ONDANSETRO,155800175.197,8311432.0,95099092.04,56211509.27,151310601.31,131,41
CETIRIZINE,583154894.969,7752152.0,77495105.4,333235.55,77828340.95,82,29
METFORMIN,700101696.746,7024387.0,113334178.6,773857.45,114108036.05,227,43
HYDROXYZIN,449047013.562,6792479.0,79022774.06,1390359.38,80413133.44,117,25
