product_name,total_units,total_prescriptions,total_medicaid_spending,total_non_medicaid_spending,total_reimbursed,ndc_count,labeler_count
SODIUM CHL,1448614339.837,1594404.0,61379713.35,84130797.29,145510510.64,170,20
AMOXICILLI,935507222.295,11492661.0,134699744.35999998,1248528.54,135948272.9,186,16
POLYETHYLE,869768428.642,2052781.0,36131576.84,51499.5,36183076.339999996,41,15
GABAPENTIN,865346311.425,9074785.0,118560987.3,1831457.22,120392444.52,257,38
LACTATED R,774245323.605,612677.0,10217290.52,48384961.69,58602252.21,26,7
IBUPROFEN,716879806.26,9767064.0,104459231.06,1215908.81,105675139.87,184,37
METFORMIN,700101696.746,7024387.0,113334178.6,773857.45,114108036.05,227,43
GAVILYTE -,606962060.388,151434.0,3685235.77,28198.36,3713434.13,3,1
CETIRIZINE,583154894.969,7752152.0,77495105.4,333235.55,77828340.95,82,29
ALBUTEROL,542176785.668,10530211.0,289507727.98,6189244.46,295696972.44,77,26
